0,1,2,3,4,5,6,7,8,9,10,11,12,label
-239.3306,101.75589,21.659016,31.242352,7.9823484,2.8720398,-12.2634,-3.271937,-5.3108444,-1.4299023,6.0972304,3.2397742,-0.39739674,arabic
-309.99832,86.24732,38.75834,27.818016,-2.2937098,-19.988356,-9.656984,1.5613675,-10.234373,-0.74259967,-2.2756336,-1.5864849,-4.4076552,arabic
-307.87677,35.076195,9.28416,-21.908253,-9.524592,-14.664257,-36.33039,-4.264299,-13.820655,-9.220983,-2.9147382,-5.972107,-8.2807865,arabic
-339.99057,62.11677,-23.435795,4.303872,-11.067085,-20.260225,-16.607782,-18.92829,-20.077478,-12.002197,-12.960032,-10.408916,-7.826601,arabic
-269.1797,79.95353,26.040943,40.93583,-0.2961957,0.0886105,-1.8996134,-4.3372407,-4.6439962,0.1709041,4.0891795,-3.5112786,-1.5757524,arabic
-301.64743,105.29779,4.2657623,13.835855,-0.7927119,-5.475512,-3.052291,-5.8063116,-2.7378147,-5.9297895,-8.133755,-3.4807403,-5.6443563,arabic
-243.06174,93.728676,-9.331128,27.097,-7.5806184,0.5917815,-8.574682,-5.3505096,-5.939186,-2.5999777,-1.7087646,-4.312807,-0.5984151,arabic
-282.80804,53.95315,-9.741129,24.605268,-18.83894,-6.8225503,-27.434288,-14.870008,-5.664488,-10.834155,-3.6003342,-11.6139965,-6.8010483,arabic
-257.13507,75.73686,4.591845,24.737417,0.106215045,-5.413668,-10.3609,-3.5589657,-3.8570771,-16.011316,-16.570898,-9.962804,-12.471613,arabic
-314.62604,75.04831,22.565586,3.6042585,-9.155674,-11.956256,-22.29913,-9.738355,-9.492049,-8.518029,-5.886253,-2.0164447,-4.9263105,arabic
-312.90247,66.68756,-1.5255508,24.784487,-2.8047101,-8.375797,-4.8806996,1.082441,0.54820937,-4.6567645,3.9022913,-1.3928343,2.5861988,arabic
-254.78542,90.960335,27.408762,24.143005,-18.372734,-14.620541,-31.64482,-16.838509,-10.330408,-8.112851,-7.44266,-10.6805315,-12.01694,arabic
-311.20288,101.512245,5.2694716,0.32861236,2.6423824,-9.712931,-10.086059,12.34773,-12.036696,8.590889,-8.193277,-2.2825255,-3.6208408,arabic
-324.09525,56.496582,-8.841334,28.074152,-16.178179,-19.955433,-6.5525274,-22.930489,-24.406866,-17.570148,-14.9358425,-9.222043,-11.230326,arabic
-250.75227,43.557858,-1.506198,14.6288185,-22.07502,-26.17876,-24.632483,-0.16642997,-20.29499,-16.426884,-15.180536,-11.233294,4.1267967,arabic
-348.8493,59.61321,-19.791315,1.9019256,-14.496608,-14.331677,-25.20238,-18.188261,-16.527205,-13.834994,-15.158914,-7.917589,-9.338978,arabic
-289.56293,53.14459,4.8139544,17.97457,-16.044285,-29.724588,-21.90658,-5.4678555,-33.097694,-18.371803,-11.072001,-11.296291,-2.707088,arabic
-310.6508,107.99189,32.366905,41.305443,8.065479,-0.4536224,-0.56858766,-2.0401094,-8.07414,-3.7127867,-6.291313,-2.9653265,-1.6072617,arabic
-345.02237,108.02949,0.10630353,15.380301,2.6210468,-2.9263263,-4.198595,-6.7577405,-15.106436,-10.126291,-16.769466,-15.061622,-10.79097,arabic
-325.0052,110.19604,4.4747863,14.943227,12.983049,-1.278855,-12.448316,-4.499496,-9.409115,-15.175359,-5.4176183,-6.684662,-4.8842664,arabic
